slug,nombre,provincia_declarada,lat,lng,motivo
hadjadj-plage,"Hadjadj Plage",Almería,36.144,0.300,"EXTRANJERA · Argelia (coords)"
veau-marin-petite-plage-,"Veau marin - petite plage -",Almería,36.576,2.063,"EXTRANJERA · Argelia (coords)"
port-khemisti,"Port Khemisti",Almería,36.633,2.669,"EXTRANJERA · Argelia (coords)"
plage-el-hamdania-2,"Plage El Hamdania 2",Almería,36.629,2.281,"EXTRANJERA · Argelia (coords)"
el-maskhota,"El Maskhota",Almería,36.627,2.272,"EXTRANJERA · Argelia (coords)"
bekouch,"Bekouch",Almería,36.815,2.975,"EXTRANJERA · Argelia (coords)"
kouali,"Kouali",Almería,36.591,2.501,"EXTRANJERA · Argelia (coords)"
plage-tire-au-pigeon,"Plage Tire au Pigeon",Almería,36.814,2.967,"EXTRANJERA · Argelia (coords)"
sidi-merouan,"sidi merouan",Almería,36.551,1.347,"EXTRANJERA · Argelia (coords)"
marsa-el-cheikh,"Marsa El Cheikh",Almería,36.330,0.681,"EXTRANJERA · Argelia (coords)"
plage-berar,"Plage berar",Almería,36.594,2.565,"EXTRANJERA · Argelia (coords)"
plage-el-djamila,"Plage El Djamila",Almería,36.803,2.895,"EXTRANJERA · Argelia (coords)"
plage-zina-beach,"Plage Zina Beach",Almería,36.110,0.211,"EXTRANJERA · Argelia (coords)"
plage-el-marsa,"Plage El Marsa",Almería,36.129,0.267,"EXTRANJERA · Argelia (coords)"
tonton-beach,"Tonton Beach",Almería,36.136,0.289,"EXTRANJERA · Argelia (coords)"
serkouf-plage,"Serkouf Plage",Almería,36.789,3.313,"EXTRANJERA · Argelia (coords)"
plage-kastini,"PLAGE KASTINI",Almería,36.569,1.864,"EXTRANJERA · Argelia (coords)"
plage-hawert-lebehare,"PLAGE HAWERT LEBEHARE",Almería,36.568,1.873,"EXTRANJERA · Argelia (coords)"
plage-turig,"PLAGE TURIG",Almería,36.564,1.831,"EXTRANJERA · Argelia (coords)"
-4,"شاطيء فوضيل الشريف",Almería,36.560,1.797,"EXTRANJERA · Argelia (coords)"
plage-larhat,"Plage larhat",Almería,36.557,1.786,"EXTRANJERA · Argelia (coords)"
-5,"شاطئ المرسى",Almería,36.560,1.801,"EXTRANJERA · Argelia (coords)"
plage-ma3youche-,"Plage Ma3youche - شاطئ معيوش",Almería,36.558,1.768,"EXTRANJERA · Argelia (coords)"
kharouba-plage,"kharouba plage",Almería,36.557,1.780,"EXTRANJERA · Argelia (coords)"
plage-zahray,"Plage zahra.y",Almería,36.559,1.791,"EXTRANJERA · Argelia (coords)"
plage-sidi-fredj,"Plage Sidi Fredj شاطئ سيدي فرج",Almería,36.761,2.849,"EXTRANJERA · Argelia (coords)"
plage-moretti,"Plage Moretti",Almería,36.762,2.866,"EXTRANJERA · Argelia (coords)"
plage-dhotel-sheraton,"Plage d'hôtel Sheraton",Almería,36.765,2.872,"EXTRANJERA · Argelia (coords)"
plage-club-des-pins,"Plage Club des Pins",Almería,36.772,2.882,"EXTRANJERA · Argelia (coords)"
club-azur-plage,"Club Azur Plage",Almería,36.737,2.841,"EXTRANJERA · Argelia (coords)"
